date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODYA,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_TODAY,LO3_TIME,LO3,LO3_TODAY
30-Jun,05:48AM,0.71,TOMORROW,11:31AM,0.46,TOMORROW,04:50PM,0.63,TOMORROW,10:57PM,0.32,TOMORROW,-,-,-,-,-,-
1-Jul,06:13AM,0.86,TOMORROW,01:46PM,0.29,TOMORROW,07:05PM,0.44,TOMORROW,10:24PM,0.39,TOMORROW,-,-,-,-,-,-
2-Jul,06:42AM,1.1,TOMORROW,03:12PM,0.1,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
3-Jul,07:16AM,1.15,TOMORROW,04:11PM,-0.06,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
4-Jul,07:54AM,1.27,TOMORROW,04:59PM,0.18,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
5-Jul,08:33AM,1.36,TOMORROW,05:42PM,-0.24,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
6-Jul,09:15AM,1.39,TOMORROW,06:22PM,-0.26,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
7-Jul,09:59AM,1.4,TOMORROW,07:02PM,-0.23,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
8-Jul,10:44AM,1.37,TOMORROW,07:40PM,-0.17,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
9-Jul,11:29AM,1.32,TOMORROW,08:15PM,-0.09,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
10-Jul,12:13PM,1.24,TOMORROW,08:48PM,0,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
